who_region_code,date,cases,deaths
AFRO,2020-01-24,4,0
AFRO,2020-01-25,6,0
AFRO,2020-01-26,6,0
AFRO,2020-01-27,6,0
AFRO,2020-01-28,8,0
AFRO,2020-01-29,10,0
AFRO,2020-01-30,10,0
AFRO,2020-01-31,10,0
AFRO,2020-02-01,12,0
AFRO,2020-02-02,12,0
AFRO,2020-02-03,12,0
AFRO,2020-02-04,12,0
AFRO,2020-02-05,12,0
AFRO,2020-02-06,12,0
AFRO,2020-02-07,12,0
AFRO,2020-02-08,22,0
AFRO,2020-02-09,22,0
AFRO,2020-02-10,22,0
AFRO,2020-02-11,22,0
AFRO,2020-02-12,22,0
AFRO,2020-02-13,22,0
AFRO,2020-02-14,22,0
AFRO,2020-02-15,24,2
AFRO,2020-02-16,24,2
AFRO,2020-02-17,24,2
AFRO,2020-02-18,24,2
AFRO,2020-02-19,24,2
AFRO,2020-02-20,24,2
AFRO,2020-02-21,24,2
AFRO,2020-02-22,24,2
AFRO,2020-02-23,24,2
AFRO,2020-02-24,24,2
AFRO,2020-02-25,29,2
AFRO,2020-02-26,37,4
AFRO,2020-02-27,77,4
AFRO,2020-02-28,116,4
AFRO,2020-02-29,202,4
AFRO,2020-03-01,262,4
AFRO,2020-03-02,387,6
AFRO,2020-03-03,416,8
AFRO,2020-03-04,593,8
AFRO,2020-03-05,778,12
AFRO,2020-03-06,1337,18
AFRO,2020-03-07,1943,22
AFRO,2020-03-08,2302,38
AFRO,2020-03-09,2470,38
AFRO,2020-03-10,3625,66
AFRO,2020-03-11,4632,96
AFRO,2020-03-12,4640,97
AFRO,2020-03-13,7435,160
AFRO,2020-03-14,9101,185
AFRO,2020-03-15,9220,186
AFRO,2020-03-16,13565,302
AFRO,2020-03-17,15654,302
AFRO,2020-03-18,18571,306
AFRO,2020-03-19,22359,498
AFRO,2020-03-20,26065,915
AFRO,2020-03-21,29644,1147
AFRO,2020-03-22,33402,1378
AFRO,2020-03-23,41460,1754
AFRO,2020-03-24,46800,2238
AFRO,2020-03-25,53103,2706
AFRO,2020-03-26,61444,3445
AFRO,2020-03-27,69562,4049
AFRO,2020-03-28,79154,4698
AFRO,2020-03-29,84767,5299
AFRO,2020-03-30,93977,6149
AFRO,2020-03-31,109662,7170
AFRO,2020-04-01,119967,8957
AFRO,2020-04-02,124798,10964
AFRO,2020-04-03,135969,13236
AFRO,2020-04-04,144965,15380
AFRO,2020-04-05,149262,16457
AFRO,2020-04-06,157523,18149
AFRO,2020-04-07,165573,21009
AFRO,2020-04-08,173909,22124
AFRO,2020-04-09,183083,24839
AFRO,2020-04-10,192268,26851
AFRO,2020-04-11,198937,28153
AFRO,2020-04-12,253205,29298
AFRO,2020-04-13,260977,30473
AFRO,2020-04-14,271499,31987
AFRO,2020-04-15,278464,34890
AFRO,2020-04-16,303986,36433
AFRO,2020-04-17,308739,37990
AFRO,2020-04-18,309687,39290
AFRO,2020-04-19,320304,40123
AFRO,2020-04-20,325742,41239
AFRO,2020-04-21,331879,42315
AFRO,2020-04-22,328404,43437
AFRO,2020-04-23,334048,44497
AFRO,2020-04-24,338644,45294
AFRO,2020-04-25,342766,46066
AFRO,2020-04-26,344974,46577
AFRO,2020-04-27,353379,47464
AFRO,2020-04-28,360658,48228
AFRO,2020-04-29,357235,49120
AFRO,2020-04-30,360277,49725
AFRO,2020-05-01,361430,50199
AFRO,2020-05-02,365439,50578
AFRO,2020-05-03,367287,50873
AFRO,2020-05-04,370634,51511
AFRO,2020-05-05,374139,52218
AFRO,2020-05-06,383063,52841
AFRO,2020-05-07,386265,53242
AFRO,2020-05-08,391793,53777
AFRO,2020-05-09,394810,53984
AFRO,2020-05-10,397293,54171
AFRO,2020-05-11,400448,54738
AFRO,2020-05-12,404457,55468
AFRO,2020-05-13,406415,55710
AFRO,2020-05-14,410422,56463
AFRO,2020-05-15,414004,56710
AFRO,2020-05-16,416329,56764
AFRO,2020-05-17,418670,57954
AFRO,2020-05-18,421978,58261
AFRO,2020-05-19,425812,57878
AFRO,2020-05-20,429863,58155
AFRO,2020-05-21,433552,58397
AFRO,2020-05-22,437103,58606
AFRO,2020-05-23,440601,58726
AFRO,2020-05-24,443722,58844
AFRO,2020-05-25,447268,59115
AFRO,2020-05-26,449532,59357
AMRO,2020-01-22,3,0
AMRO,2020-01-23,3,0
AMRO,2020-01-24,18,0
AMRO,2020-01-25,24,0
AMRO,2020-01-26,34,0
AMRO,2020-01-27,34,0
AMRO,2020-01-28,41,0
AMRO,2020-01-29,47,0
AMRO,2020-01-30,47,0
AMRO,2020-01-31,69,0
AMRO,2020-02-01,78,0
AMRO,2020-02-02,78,0
AMRO,2020-02-03,87,0
AMRO,2020-02-04,87,0
AMRO,2020-02-05,88,0
AMRO,2020-02-06,88,0
AMRO,2020-02-07,97,0
AMRO,2020-02-08,127,0
AMRO,2020-02-09,127,0
AMRO,2020-02-10,162,0
AMRO,2020-02-11,165,0
AMRO,2020-02-12,172,0
AMRO,2020-02-13,175,0
AMRO,2020-02-14,175,0
AMRO,2020-02-15,181,6
AMRO,2020-02-16,181,6
AMRO,2020-02-17,182,6
AMRO,2020-02-18,182,6
AMRO,2020-02-19,182,6
AMRO,2020-02-20,182,6
AMRO,2020-02-21,189,6
AMRO,2020-02-22,189,6
AMRO,2020-02-23,189,6
AMRO,2020-02-24,326,6
AMRO,2020-02-25,339,6
AMRO,2020-02-26,382,12
AMRO,2020-02-27,525,12
AMRO,2020-02-28,682,12
AMRO,2020-02-29,1015,15
AMRO,2020-03-01,1332,15
AMRO,2020-03-02,1833,36
AMRO,2020-03-03,2078,45
AMRO,2020-03-04,2984,57
AMRO,2020-03-05,4142,72
AMRO,2020-03-06,6489,107
AMRO,2020-03-07,9267,135
AMRO,2020-03-08,11494,204
AMRO,2020-03-09,12783,215
AMRO,2020-03-10,18058,349
AMRO,2020-03-11,23107,468
AMRO,2020-03-12,24301,501
AMRO,2020-03-13,38053,739
AMRO,2020-03-14,47711,977
AMRO,2020-03-15,51202,1156
AMRO,2020-03-16,71889,1763
AMRO,2020-03-17,87851,2056
AMRO,2020-03-18,106978,2453
AMRO,2020-03-19,138848,3692
AMRO,2020-03-20,178292,5593
AMRO,2020-03-21,218701,7071
AMRO,2020-03-22,261120,8627
AMRO,2020-03-23,326805,11017
AMRO,2020-03-24,387002,14458
AMRO,2020-03-25,455986,18426
AMRO,2020-03-26,555301,23474
AMRO,2020-03-27,660268,29391
AMRO,2020-03-28,773297,35236
AMRO,2020-03-29,870228,41128
AMRO,2020-03-30,985408,49041
AMRO,2020-03-31,1137919,59065
AMRO,2020-04-01,1282398,73129
AMRO,2020-04-02,1425741,88742
AMRO,2020-04-03,1592199,105189
AMRO,2020-04-04,1751209,122544
AMRO,2020-04-05,1898026,135313
AMRO,2020-04-06,2044434,149526
AMRO,2020-04-07,2193455,173351
AMRO,2020-04-08,2361152,190995
AMRO,2020-04-09,2533250,213766
AMRO,2020-04-10,2734390,234734
AMRO,2020-04-11,2890037,251272
AMRO,2020-04-12,3183638,265264
AMRO,2020-04-13,3322351,279903
AMRO,2020-04-14,3478794,299845
AMRO,2020-04-15,3627929,323081
AMRO,2020-04-16,3841527,342373
AMRO,2020-04-17,4002765,362291
AMRO,2020-04-18,4151580,382070
AMRO,2020-04-19,4312161,392212
AMRO,2020-04-20,4447331,405370
AMRO,2020-04-21,4586193,425207
AMRO,2020-04-22,4701853,442499
AMRO,2020-04-23,4848973,458941
AMRO,2020-04-24,5029278,474944
AMRO,2020-04-25,5187957,491052
AMRO,2020-04-26,5318169,499557
AMRO,2020-04-27,5449547,509483
AMRO,2020-04-28,5583325,525745
AMRO,2020-04-29,5694563,543220
AMRO,2020-04-30,5848128,557082
AMRO,2020-05-01,6011304,570848
AMRO,2020-05-02,6155529,581884
AMRO,2020-05-03,6282777,589960
AMRO,2020-05-04,6398071,598408
AMRO,2020-05-05,6524871,613182
AMRO,2020-05-06,6685164,627917
AMRO,2020-05-07,6831563,640947
AMRO,2020-05-08,6973420,653015
AMRO,2020-05-09,7101048,662144
AMRO,2020-05-10,7206324,667992
AMRO,2020-05-11,7306633,675491
AMRO,2020-05-12,7419829,688898
AMRO,2020-05-13,7529475,699746
AMRO,2020-05-14,7667225,711693
AMRO,2020-05-15,7802211,721916
AMRO,2020-05-16,7928248,730363
AMRO,2020-05-17,8029793,738425
AMRO,2020-05-18,8141580,743970
AMRO,2020-05-19,8256863,753098
AMRO,2020-05-20,8363203,762660
AMRO,2020-05-21,8494496,771441
AMRO,2020-05-22,8627972,780141
AMRO,2020-05-23,8748937,787320
AMRO,2020-05-24,8860341,791440
AMRO,2020-05-25,8959744,795897
AMRO,2020-05-26,9077432,801401
Conveyance,2020-02-07,61,0
Conveyance,2020-02-08,61,0
Conveyance,2020-02-09,64,0
Conveyance,2020-02-10,135,0
Conveyance,2020-02-11,135,0
Conveyance,2020-02-12,175,0
Conveyance,2020-02-13,175,0
Conveyance,2020-02-14,218,0
Conveyance,2020-02-15,285,0
Conveyance,2020-02-16,355,0
Conveyance,2020-02-17,454,0
Conveyance,2020-02-18,542,0
Conveyance,2020-02-19,621,0
Conveyance,2020-02-20,634,2
Conveyance,2020-02-21,634,2
Conveyance,2020-02-22,634,2
Conveyance,2020-02-23,691,3
Conveyance,2020-02-24,691,3
Conveyance,2020-02-25,691,3
Conveyance,2020-02-26,705,4
Conveyance,2020-02-27,705,4
Conveyance,2020-02-28,705,6
Conveyance,2020-02-29,705,6
Conveyance,2020-03-01,705,6
Conveyance,2020-03-02,705,6
Conveyance,2020-03-03,706,6
Conveyance,2020-03-04,706,6
Conveyance,2020-03-05,706,6
Conveyance,2020-03-06,706,6
Conveyance,2020-03-07,706,6
Conveyance,2020-03-08,706,6
Conveyance,2020-03-09,706,6
Conveyance,2020-03-10,706,6
Conveyance,2020-03-11,706,7
Conveyance,2020-03-12,706,7
Conveyance,2020-03-13,706,7
Conveyance,2020-03-14,706,7
Conveyance,2020-03-15,706,7
Conveyance,2020-03-16,706,7
Conveyance,2020-03-17,706,7
Conveyance,2020-03-18,712,7
Conveyance,2020-03-19,712,7
Conveyance,2020-03-20,712,7
Conveyance,2020-03-21,712,8
Conveyance,2020-03-22,712,8
Conveyance,2020-03-23,712,8
Conveyance,2020-03-24,712,10
Conveyance,2020-03-25,712,10
Conveyance,2020-03-26,712,10
Conveyance,2020-03-27,712,10
Conveyance,2020-03-28,714,10
Conveyance,2020-03-29,714,10
Conveyance,2020-03-30,714,10
Conveyance,2020-03-31,714,10
Conveyance,2020-04-01,721,13
Conveyance,2020-04-02,721,13
Conveyance,2020-04-03,721,13
Conveyance,2020-04-04,721,13
Conveyance,2020-04-05,721,13
Conveyance,2020-04-06,721,13
Conveyance,2020-04-07,721,13
Conveyance,2020-04-08,721,13
Conveyance,2020-04-09,721,13
Conveyance,2020-04-10,721,13
Conveyance,2020-04-11,721,13
Conveyance,2020-04-12,721,13
Conveyance,2020-04-13,721,13
Conveyance,2020-04-14,721,14
Conveyance,2020-04-15,721,14
Conveyance,2020-04-16,721,14
Conveyance,2020-04-17,721,15
Conveyance,2020-04-18,721,15
Conveyance,2020-04-19,721,15
Conveyance,2020-04-20,721,15
Conveyance,2020-04-21,721,15
Conveyance,2020-04-22,721,15
Conveyance,2020-04-23,721,15
Conveyance,2020-04-24,721,15
Conveyance,2020-04-25,721,15
Conveyance,2020-04-26,721,15
Conveyance,2020-04-27,721,15
Conveyance,2020-04-28,721,15
Conveyance,2020-04-29,721,15
Conveyance,2020-04-30,721,15
Conveyance,2020-05-01,721,15
Conveyance,2020-05-02,721,15
Conveyance,2020-05-03,721,15
Conveyance,2020-05-04,721,15
Conveyance,2020-05-05,721,15
Conveyance,2020-05-06,721,15
Conveyance,2020-05-07,721,15
Conveyance,2020-05-08,721,15
Conveyance,2020-05-09,721,15
Conveyance,2020-05-10,721,15
Conveyance,2020-05-11,721,15
Conveyance,2020-05-12,721,15
Conveyance,2020-05-13,721,15
Conveyance,2020-05-14,721,15
Conveyance,2020-05-15,721,15
Conveyance,2020-05-16,721,15
Conveyance,2020-05-17,721,15
Conveyance,2020-05-18,721,15
Conveyance,2020-05-19,721,15
Conveyance,2020-05-20,721,15
Conveyance,2020-05-21,721,15
Conveyance,2020-05-22,721,15
Conveyance,2020-05-23,721,15
Conveyance,2020-05-24,721,15
Conveyance,2020-05-25,721,15
Conveyance,2020-05-26,721,15
EMRO,2020-01-29,4,0
EMRO,2020-01-30,4,0
EMRO,2020-01-31,4,0
EMRO,2020-02-01,4,0
EMRO,2020-02-02,5,0
EMRO,2020-02-03,5,0
EMRO,2020-02-04,5,0
EMRO,2020-02-05,5,0
EMRO,2020-02-06,5,0
EMRO,2020-02-07,5,0
EMRO,2020-02-08,7,0
EMRO,2020-02-09,7,0
EMRO,2020-02-10,8,0
EMRO,2020-02-11,8,0
EMRO,2020-02-12,8,0
EMRO,2020-02-13,8,0
EMRO,2020-02-14,9,0
EMRO,2020-02-15,9,0
EMRO,2020-02-16,10,0
EMRO,2020-02-17,10,0
EMRO,2020-02-18,10,0
EMRO,2020-02-19,12,2
EMRO,2020-02-20,15,2
EMRO,2020-02-21,29,4
EMRO,2020-02-22,43,5
EMRO,2020-02-23,58,8
EMRO,2020-02-24,82,12
EMRO,2020-02-25,148,16
EMRO,2020-02-26,226,19
EMRO,2020-02-27,351,26
EMRO,2020-02-28,505,34
EMRO,2020-02-29,730,43
EMRO,2020-03-01,1136,54
EMRO,2020-03-02,1684,66
EMRO,2020-03-03,2543,77
EMRO,2020-03-04,3140,94
EMRO,2020-03-05,3752,109
EMRO,2020-03-06,5018,127
EMRO,2020-03-07,6161,149
EMRO,2020-03-08,6974,201
EMRO,2020-03-09,7595,244
EMRO,2020-03-10,8584,301
EMRO,2020-03-11,9903,366
EMRO,2020-03-12,11030,442
EMRO,2020-03-13,12498,530
EMRO,2020-03-14,14013,628
EMRO,2020-03-15,15386,741
EMRO,2020-03-16,16652,871
EMRO,2020-03-17,18124,1010
EMRO,2020-03-18,19523,1160
EMRO,2020-03-19,21055,1314
EMRO,2020-03-20,22538,1473
EMRO,2020-03-21,23911,1598
EMRO,2020-03-22,25356,1741
EMRO,2020-03-23,27181,1877
EMRO,2020-03-24,29607,2009
EMRO,2020-03-25,32432,2163
EMRO,2020-03-26,35405,2341
EMRO,2020-03-27,39015,2512
EMRO,2020-03-28,42685,2666
EMRO,2020-03-29,46247,2806
EMRO,2020-03-30,50128,2949
EMRO,2020-03-31,54113,3115
EMRO,2020-04-01,57953,3277
EMRO,2020-04-02,62070,3434
EMRO,2020-04-03,66065,3596
EMRO,2020-04-04,69894,3781
EMRO,2020-04-05,74044,3972
EMRO,2020-04-06,78258,4145
EMRO,2020-04-07,81875,4313
EMRO,2020-04-08,85254,4456
EMRO,2020-04-09,88470,4605
